year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,area_type,cluster_label,estimated_alice_households,estimated_alice_rate_proxy_pct,median_household_income,poverty_rate,unemployment_rate,pct_hh_income_under_25k,pct_rent_burden_30_plus,pct_age_18_24,pct_bachelors_or_higher,rank_basis,rank_group
2022,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1578.1189449299343,71.31129439358041,35721.0,20.5,9.2,41.3,55.44,23.9,36.6,estimated_alice_rate_proxy_pct,top_15
2022,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,390.1308602303607,71.06208747365405,3388.0,90.9,4.5,80.5,64.12,96.9,82.4,estimated_alice_rate_proxy_pct,top_15
2022,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1171.876338690266,69.0557653912944,11922.0,63.2,1.6,64.8,60.58,72.2,75.0,estimated_alice_rate_proxy_pct,top_15
2022,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,697.9534680826918,69.03595134349078,27747.0,52.9,2.3,47.3,64.68,60.3,71.9,estimated_alice_rate_proxy_pct,top_15
2022,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,703.9318770558308,67.81617312676597,8333.0,87.3,3.4,81.0,59.34,89.3,87.5,estimated_alice_rate_proxy_pct,top_15
2022,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1622.391733913426,67.34710393995125,50272.0,19.3,10.9,28.2,58.8,11.0,52.3,estimated_alice_rate_proxy_pct,top_15
2022,17019005902,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,400.1255655623471,62.13129900036445,14200.0,59.5,2.7,64.6,61.49,87.3,76.8,estimated_alice_rate_proxy_pct,top_15
2022,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1813.4725546342852,60.36859369621455,52813.0,18.8,7.0,24.2,47.84,12.2,35.4,estimated_alice_rate_proxy_pct,top_15
2023,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1843.78259160379,74.5565140155192,5982.0,86.7,11.5,80.7,60.05,87.2,43.7,estimated_alice_households,top_15
2023,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1643.419481924299,56.20449664583786,53118.0,24.6,7.4,26.3,57.75,12.8,42.4,estimated_alice_households,top_15
2023,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1523.3823776624586,72.889108979065,27094.0,42.9,10.4,46.8,46.2,49.6,36.6,estimated_alice_households,top_15
2023,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1373.1520177480888,56.6715649091246,56719.0,13.8,13.2,24.3,53.07,7.8,56.5,estimated_alice_households,top_15
