Column Name,Label
S0101_C04_020M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C04_021E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C04_021M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C04_022E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C04_022M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C04_023E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C04_023M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C04_024E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C04_024M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C04_025E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C04_025M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C04_026E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C04_026M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C04_027E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C04_027M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C04_028E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_60 years and over
S0101_C04_028M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_60 years and over
S0101_C04_029E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_62 years and over
S0101_C04_029M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_62 years and over
S0101_C04_030E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_65 years and over
S0101_C04_030M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_65 years and over
S0101_C04_031E,Estimate_Percent Male_Total population_SELECTED AGE CATEGORIES_75 years and over
S0101_C04_031M,Margin of Error_Percent Male_Total population_SELECTED AGE CATEGORIES_75 years and over
S0101_C04_032E,Estimate_Percent Male_Total population_SUMMARY INDICATORS_Median age (years)
S0101_C04_032M,Margin of Error_Percent Male_Total population_SUMMARY INDICATORS_Median age (years)
S0101_C04_033E,Estimate_Percent Male_Total population_SUMMARY INDICATORS_Sex ratio (males per 100 females)
S0101_C04_033M,Margin of Error_Percent Male_Total population_SUMMARY INDICATORS_Sex ratio (males per 100 females)
S0101_C04_034E,Estimate_Percent Male_Total population_SUMMARY INDICATORS_Age dependency ratio
S0101_C04_034M,Margin of Error_Percent Male_Total population_SUMMARY INDICATORS_Age dependency ratio
S0101_C04_035E,Estimate_Percent Male_Total population_SUMMARY INDICATORS_Old-age dependency ratio
S0101_C04_035M,Margin of Error_Percent Male_Total population_SUMMARY INDICATORS_Old-age dependency ratio
S0101_C04_036E,Estimate_Percent Male_Total population_SUMMARY INDICATORS_Child dependency ratio
S0101_C04_036M,Margin of Error_Percent Male_Total population_SUMMARY INDICATORS_Child dependency ratio
S0101_C04_037E,Estimate_Percent Male_Total population_PERCENT ALLOCATED_Sex
S0101_C04_037M,Margin of Error_Percent Male_Total population_PERCENT ALLOCATED_Sex
S0101_C04_038E,Estimate_Percent Male_Total population_PERCENT ALLOCATED_Age
S0101_C04_038M,Margin of Error_Percent Male_Total population_PERCENT ALLOCATED_Age
S0101_C05_001E,Estimate_Female_Total population
S0101_C05_001M,Margin of Error_Female_Total population
S0101_C05_002E,Estimate_Female_Total population_AGE_Under 5 years
