"Column Name","Label"
"S1601_C01_022E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18-64 years"
"S1601_C01_022M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18-64 years"
"S1601_C02_022E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18-64 years"
"S1601_C02_022M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18-64 years"
"S1601_C03_022E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18-64 years"
"S1601_C03_022M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18-64 years"
"S1601_C01_023E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years and over"
"S1601_C01_023M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years and over"
"S1601_C02_023E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years and over"
"S1601_C02_023M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years and over"
"S1601_C03_023E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years and over"
"S1601_C03_023M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years and over"
"S1601_C01_024E","Total!!Estimate!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over"
"S1601_C01_024M","Total!!Margin of Error!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over"
"S1601_C02_024E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over"
"S1601_C02_024M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over"
"S1601_C03_024E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over"
"S1601_C03_024M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over"
"S1601_C01_025E","Total!!Estimate!!CITIZENS 18 YEARS AND OVER!!All citizens 18 years and over!!Speak only English"
