source_table,metric_group,metric_name,metric_kind
S1101,household_composition,s1101_c05_009e,derived
S1101,household_composition,s1101_c05_009m,derived
S1101,household_composition,s1101_c05_010e,derived
S1101,household_composition,s1101_c05_010m,derived
S1101,household_composition,s1101_c05_011e,derived
S1101,household_composition,s1101_c05_011m,derived
S1101,household_composition,s1101_c05_012e,derived
S1101,household_composition,s1101_c05_012m,derived
S1101,household_composition,s1101_c05_013e,derived
S1101,household_composition,s1101_c05_013m,derived
S1101,household_composition,s1101_c05_014e,derived
S1101,household_composition,s1101_c05_014m,derived
S1101,household_composition,s1101_c05_015e,derived
S1101,household_composition,s1101_c05_015m,derived
S1101,household_composition,s1101_c05_016e,derived
S1101,household_composition,s1101_c05_016m,derived
S1101,household_composition,s1101_c05_017e,derived
S1101,household_composition,s1101_c05_017m,derived
S1101,household_composition,s1101_c05_018e,derived
S1101,household_composition,s1101_c05_018m,derived
S1501,education,s1501_c01_001e,derived
S1501,education,s1501_c01_001m,derived
S1501,education,s1501_c01_002e,derived
S1501,education,s1501_c01_002m,derived
S1501,education,s1501_c01_003e,derived
S1501,education,s1501_c01_003m,derived
S1501,education,s1501_c01_004e,derived
S1501,education,s1501_c01_004m,derived
S1501,education,s1501_c01_005e,derived
S1501,education,s1501_c01_005m,derived
S1501,education,s1501_c01_006e,derived
S1501,education,s1501_c01_006m,derived
S1501,education,s1501_c01_007e,derived
S1501,education,s1501_c01_007m,derived
S1501,education,s1501_c01_008e,derived
S1501,education,s1501_c01_008m,derived
S1501,education,s1501_c01_009e,derived
S1501,education,s1501_c01_009m,derived
S1501,education,s1501_c01_010e,derived
S1501,education,s1501_c01_010m,derived
S1501,education,s1501_c01_011e,derived
S1501,education,s1501_c01_011m,derived
S1501,education,s1501_c01_012e,derived
S1501,education,s1501_c01_012m,derived
S1501,education,s1501_c01_013e,derived
S1501,education,s1501_c01_013m,derived
S1501,education,s1501_c01_014e,derived
S1501,education,s1501_c01_014m,derived
S1501,education,s1501_c01_015e,derived
S1501,education,s1501_c01_015m,derived
S1501,education,s1501_c01_016e,derived
S1501,education,s1501_c01_016m,derived
S1501,education,s1501_c01_017e,derived
S1501,education,s1501_c01_017m,derived
