year,tract_geoid,display_area_label,raw_metric_value,z_score,directed_component,metric
2019,17019001301,Champaign — Senior-heavy residential area,4.2,-0.29566694222107287,-0.2513169008879119,unemployment_rate
2019,17019001302,Savoy — Senior-heavy residential area,4.0,-0.36402005251949304,-0.3094170446415691,unemployment_rate
2019,17019001400,Census Tract 14 — Family-oriented residential area,2.3,-0.9450214900560641,-0.8032682665476545,unemployment_rate
2019,17019005300,Urbana — Student-dense area,8.0,1.0030421534489093,0.8525858304315729,unemployment_rate
2019,17019005401,Census Tract 54.01 — Mixed residential area,8.6,1.2081014843441695,1.026886261692544,unemployment_rate
2019,17019005402,Census Tract 54.02 — Senior-heavy residential area,7.5,0.832159377702859,0.7073354710474301,unemployment_rate
2019,17019005500,Urbana — Senior-heavy residential area,4.3,-0.2614903870718629,-0.22226682901108347,unemployment_rate
2019,17019005600,,7.4,0.797982822553649,0.6782853991706017,unemployment_rate
2019,17019005701,Urbana — Senior-heavy residential area,6.7,0.5587469365091786,0.4749348960328018,unemployment_rate
2019,17019005702,Census Tract 57.02 — Senior-heavy residential area,1.5,-1.2184339312497445,-1.0356688415622828,unemployment_rate
2019,17019005800,Urbana — Higher economic stress area,3.1,-0.6716090488623835,-0.570867691533026,unemployment_rate
2019,17019005900,,6.6,0.5245703813599684,0.4458848241559731,unemployment_rate
2019,17019006000,Census Tract 60 — Student-dense area,5.6,0.18280482986786778,0.1553841053876876,unemployment_rate
2019,17019010100,Census Tract 101 — Mixed residential area,4.3,-0.2614903870718629,-0.22226682901108347,unemployment_rate
2019,17019010204,Rantoul — Mixed residential area,7.3,0.7638062674044388,0.649235327293773,unemployment_rate
2019,17019010300,Rantoul — Family-oriented residential area,6.5,0.4903938262107584,0.4168347522791446,unemployment_rate
2019,17019010400,Census Tract 104 — Senior-heavy residential area,3.8,-0.4323731628179132,-0.36751718839522624,unemployment_rate
2019,17019010500,Fisher — Family-oriented residential area,3.2,-0.6374324937131735,-0.5418176196561975,unemployment_rate
2019,17019010601,Census Tract 106.01 — Family-oriented residential area,5.0,-0.022254501027392452,-0.018916325873283586,unemployment_rate
2019,17019010603,Mahomet — Family-oriented residential area,2.0,-1.0475511555036943,-0.8904184821781401,unemployment_rate
2019,17019010604,Census Tract 106.04 — Senior-heavy residential area,4.3,-0.2614903870718629,-0.22226682901108347,unemployment_rate
2019,17019010700,,1.9,-1.0817277106529042,-0.9194685540549685,unemployment_rate
2019,17019010800,Census Tract 108 — Senior-heavy residential area,4.7,-0.12478416647502256,-0.10606654150376918,unemployment_rate
2019,17019010900,,3.0,-0.7057856040115936,-0.5999177634098546,unemployment_rate
2019,17019011000,,2.7,-0.8083152694592237,-0.6870679790403401,unemployment_rate
2019,17019011100,Urbana — Student-dense area,11.9,2.3359278042681018,1.9855386336278864,unemployment_rate
2021,17019000200,Champaign — Higher economic stress area,9.3,1.19866764688,1.0188674998479998,unemployment_rate
2021,17019000301,Champaign — Student-dense area,7.1,0.5833088548988232,0.4958125266639997,unemployment_rate
2021,17019000302,Champaign — Student-dense area,4.0,-0.283787624711016,-0.24121948100436358,unemployment_rate
2021,17019000401,Champaign — Student-dense area,6.5,0.415483729813048,0.3531611703410908,unemployment_rate
2021,17019000402,Champaign — Student-dense area,5.6,0.16374604218438488,0.13918413585672715,unemployment_rate
2021,17019000500,Champaign — Mixed residential area,2.4,-0.7313212916064169,-0.6216230978654543,unemployment_rate
2021,17019000700,Champaign — Mixed residential area,13.2,2.289530959937539,1.946101315946908,unemployment_rate
2021,17019000800,Champaign — Mixed residential area,4.4,-0.17190420798716566,-0.1461185767890908,unemployment_rate
2021,17019000901,Champaign — Family-oriented residential area,10.2,1.4504053345086625,1.232844534332363,unemployment_rate
2021,17019000902,Census Tract 9.02 — Family-oriented residential area,6.6,0.44345458399401044,0.3769363963949089,unemployment_rate
2021,17019001000,Champaign — Mixed residential area,3.2,-0.5075544581587164,-0.4314212894349089,unemployment_rate
2021,17019001100,Champaign — Senior-heavy residential area,0.8,-1.178854958501818,-1.0020267147265454,unemployment_rate
2021,17019001201,Champaign — Mixed residential area,8.3,0.9189591050703743,0.7811152393098181,unemployment_rate
2021,17019001203,Champaign — Senior-heavy residential area,3.0,-0.5634961665206416,-0.47897174154254535,unemployment_rate
2021,17019001204,Champaign — Family-oriented residential area,2.0,-0.8432047083302672,-0.7167240020807271,unemployment_rate
2021,17019001205,Champaign — Family-oriented residential area,3.2,-0.5075544581587164,-0.4314212894349089,unemployment_rate
2021,17019001206,Census Tract 12.06 — Senior-heavy residential area,1.5,-0.98305897923508,-0.835600132349818,unemployment_rate
2021,17019001301,Champaign — Senior-heavy residential area,5.2,0.05186262546053478,0.044083231641454564,unemployment_rate
2021,17019001302,Savoy — Senior-heavy residential area,3.6,-0.3956710414348662,-0.33632038521963625,unemployment_rate
2021,17019001400,Census Tract 14 — Family-oriented residential area,1.5,-0.98305897923508,-0.835600132349818,unemployment_rate
2021,17019005300,Urbana — Student-dense area,9.9,1.3664927719657751,1.1615188561709089,unemployment_rate
2021,17019005401,Census Tract 54.01 — Mixed residential area,6.0,0.2756294589082352,0.2342850400719999,unemployment_rate
2021,17019005402,Census Tract 54.02 — Senior-heavy residential area,9.0,1.114755084337112,0.9475418216865451,unemployment_rate
2021,17019005500,Urbana — Senior-heavy residential area,2.0,-0.8432047083302672,-0.7167240020807271,unemployment_rate
